metric,value,unit,source
"System Cost - 2026",1.45,Trillion Euro,Table 10.1
"System Cost - 2030",1.1,Trillion Euro,Table 10.1
"Renewable Share - 2025",68,%,Chapter 10.8
"Renewable Share - 2045",96,%,Figure 10.2
"Grid Stability - 2045",98,%,Figure 10.2
"Protocol Multiplier - Storage",1.5,factor,Chapter 10.6
"Protocol Multiplier - Grid Intelligence",2.0,factor,Chapter 10.6
"Protocol Depth - 2030",8,level,Implied
"Fragility - 2026",0.7,factor,Implied
"Fragility - 2030",0.2,factor,Implied
"Tuition Fee Recovery - 2040",100,%,Chapter 10.7.1
